FPR,TPR,Threshold
0.0,0.0,1.9504573527469322
0.0,0.010752688172043012,0.9504573527469322
0.020833333333333332,0.010752688172043012,0.9300960914016956
0.020833333333333332,0.10752688172043011,0.88238826572832
0.041666666666666664,0.10752688172043011,0.8815024297335874
0.041666666666666664,0.13978494623655913,0.8724676181197413
0.0625,0.13978494623655913,0.8651843144584709
0.0625,0.3010752688172043,0.8257467961562874
0.08333333333333333,0.3010752688172043,0.8253327921683733
0.08333333333333333,0.3118279569892473,0.8247429731471236
0.10416666666666667,0.3118279569892473,0.8212437756542634
0.10416666666666667,0.3225806451612903,0.8188843823731583
0.125,0.3225806451612903,0.8153123189785487
0.125,0.3655913978494624,0.8107938190142703
0.14583333333333334,0.3655913978494624,0.8089613102525771
0.14583333333333334,0.3870967741935484,0.8056571540664182
0.1875,0.3870967741935484,0.798898437306435
0.1875,0.43010752688172044,0.7943577889723553
0.22916666666666666,0.43010752688172044,0.7908361130440953
0.22916666666666666,0.5161290322580645,0.7760615923619186
0.2708333333333333,0.5161290322580645,0.7731584804807234
0.2708333333333333,0.5591397849462365,0.7660420737184835
0.2916666666666667,0.5591397849462365,0.7650089459090387
0.2916666666666667,0.5698924731182796,0.7649187403890404
0.3125,0.5698924731182796,0.7643583386225368
0.3125,0.6129032258064516,0.7620634968203326
0.3333333333333333,0.6129032258064516,0.7602453369319893
0.3333333333333333,0.7419354838709677,0.745722934334977
0.3541666666666667,0.7419354838709677,0.7455874309222756
0.3541666666666667,0.8709677419354839,0.728506707476637
0.375,0.8709677419354839,0.7281790187239653
0.375,0.9032258064516129,0.7205547963903761
0.4166666666666667,0.9032258064516129,0.7136873810086585
0.4166666666666667,0.978494623655914,0.6976194764443574
0.4375,0.978494623655914,0.6898368359571052
0.4375,0.989247311827957,0.6889129328948027
0.4791666666666667,0.989247311827957,0.6551654197495687
0.4791666666666667,1.0,0.5397274869570511
1.0,1.0,0.10619610244457273
